epoch,accuracy,loss,val_accuracy,val_loss
0,0.7533572316169739,0.6293367147445679,0.614130437374115,0.8987693190574646
1,0.8634735941886902,0.3969842493534088,0.8396739363670349,0.4304303824901581
2,0.8863025903701782,0.33010753989219666,0.904891312122345,0.31706705689430237
3,0.9064458608627319,0.30101892352104187,0.6277173757553101,0.961614191532135
4,0.9198746681213379,0.2427663505077362,0.8505434989929199,0.4779697358608246
5,0.9239032864570618,0.22316187620162964,0.86548912525177,0.306004136800766
6,0.9413607716560364,0.17255866527557373,0.8301630616188049,0.5430998206138611
7,0.9422560334205627,0.1767074465751648,0.7445651888847351,1.5193967819213867
8,0.9458370804786682,0.15977947413921356,0.873641312122345,0.3284025490283966
9,0.952103853225708,0.15337492525577545,0.885869562625885,0.36577656865119934
